pid,text,entropy,candidates
10523,"marina deco wood ornament this is really great piece , and it will be much realistic after 1 month in he water , i loved it .",24.049816,53: novelty_gag_toys | 21: baby_toddler_toys | 13: arts_crafts | 111: sports_outdoor_play | 3: toys_games | 128: feeding | 34: stuffed_animals_plush | 204: easels | 15: action_toy_figures | 120: hobbies
6360,"german classic gift basket ( 7 . 7 pound ) my mothers country was dissolved during world war ii and the land given to czechoslovakia . a u.s . citizen since the 1950 's at age 85 , she has told us many stories about her former country and the amazing times she has lived through . she loved the gift basket from igourmet . com as it contained many things that reminded her of her former homeland . great gift and quick delivery ! thank you !",22.134579,128: feeding | 208: gourmet_gifts | 40: baby_products | 265: candy_chocolate | 145: bathing_skin_care | 8: beverages | 194: gift_sets | 105: sexual_wellness | 129: bottle_feeding | 15: action_toy_figures
958,"jerdon 8 inch wall mount mirror this seems like a very well made mirror , it is a nice size , and the magnification strength is great . it is easy to install , and the nickel finish is very classy . the one thing , though , particularly after reading another reviewer 's comment , is that i make a habit of tightening the screws on either side of the mirror from time to time ... just seems to make sense , considering that the mirror gets rotated back and forth quite a bit .",22.110304,60: tools_accessories | 111: sports_outdoor_play | 21: baby_toddler_toys | 13: arts_crafts | 53: novelty_gag_toys | 120: hobbies | 3: toys_games | 17: dolls_accessories | 30: electronics_for_kids | 31: household_supplies
3548,"sorelle city lights 3 drawer chest espresso i was impressed with the quality of this dresser . it was delivered ( free ) fully assembled . very heavy , made with real wood . drawers slide beautifully .",22.026848,128: feeding | 40: baby_products | 139: nursery | 31: household_supplies | 145: bathing_skin_care | 220: fragrance | 74: medical_supplies_equipment | 135: safety | 296: fish_aquatic_pets | 53: novelty_gag_toys
9973,"saber tooth tiger skull w stand the post did n't fit right , screw was too small but they sent me a whole new stand and post . assembly not too hard . looks awesome in my wall unit . tar pit finish to me looks the best . very happy with overall product .",21.943447,21: baby_toddler_toys | 135: safety | 160: strollers | 40: baby_products | 139: nursery | 41: gear | 187: stuffed_animals_toys | 34: stuffed_animals_plush | 111: sports_outdoor_play | 128: feeding
4686,petri dishes with agar and swabs science fair project kit this product came packed very well with very well layed out directions . i would recommend this kit to anyone that needs to do a science fair project involving the use of petri dishes and agar . also there was instructions on ways to design a display board for a science fair project with examples of each descriptive category that goes on the display board . it comes with everything you need to have a well layed out project . all in all this is a very good product at a decent price .,21.889927,296: fish_aquatic_pets | 111: sports_outdoor_play | 31: household_supplies | 13: arts_crafts | 128: feeding | 21: baby_toddler_toys | 53: novelty_gag_toys | 40: baby_products | 32: household_batteries | 145: bathing_skin_care
18217,"star explosion glow in the dark for 70 i changed my daughter 's bedroom into outer space 20 these stars , worked really well though i wish they gave you a bit more of the adhesive putty 20 glow in the dark planets2x 15 two 71 cm flourescent blacklightsthe blacklights really help give the stars and planets an errie glow ... overall turned out much better than i expected , kids love it .",21.83215,296: fish_aquatic_pets | 111: sports_outdoor_play | 53: novelty_gag_toys | 21: baby_toddler_toys | 13: arts_crafts | 265: candy_chocolate | 31: household_supplies | 128: feeding | 145: bathing_skin_care | 401: stickers
10401,swarovski gorgeous pave crystal mirrored compact this mirrors are large and clear . the compact itself is a little cheap looking and mine was missing crystals . seller replaced without a problem .,21.831367,13: arts_crafts | 53: novelty_gag_toys | 111: sports_outdoor_play | 60: tools_accessories | 17: dolls_accessories | 21: baby_toddler_toys | 3: toys_games | 120: hobbies | 31: household_supplies | 296: fish_aquatic_pets
9754,"xacto x75170 x tra hands with magnifier this x tra hands tool is great for my needs . the base is sturdy enough and all arms , clamps and the magnifying glass are adjustable . if you have bad eyesight you may want to go get one with an led light .",21.793055,60: tools_accessories | 111: sports_outdoor_play | 53: novelty_gag_toys | 24: personal_care | 13: arts_crafts | 17: dolls_accessories | 31: household_supplies | 74: medical_supplies_equipment | 21: baby_toddler_toys | 296: fish_aquatic_pets
11476,"20 20 pen this pen offers a great bold line compared to flairs , but a student should stock up on these pens if relying on them to take class notes . unfortunately even pens made for the visually impaired cost a lot .",21.790298,60: tools_accessories | 13: arts_crafts | 111: sports_outdoor_play | 53: novelty_gag_toys | 17: dolls_accessories | 21: baby_toddler_toys | 31: household_supplies | 11: makeup | 220: fragrance | 221: women_s
11059,bissell 2102 b sweep up was given as a house warming gift i was happy with the product of my own and as far as i know the gift was one that was wanted,21.761463,31: household_supplies | 145: bathing_skin_care | 128: feeding | 265: candy_chocolate | 8: beverages | 296: fish_aquatic_pets | 131: diapering | 208: gourmet_gifts | 290: lighters | 54: bath_body
11338,"step2 lifestyle grand walk in kitchen i was disappointed when i realized it was missing a part when it arrived . i called step 2 directly and they got the part out to me right away , so i did n't have to try to send it back to amazon . i gave this to my daughter for her 4th birthday and she absolutely adores it ! she and 4 of her friends had the mother of all tea parties here . i was afraid it would be too large , but it was perfect . it was simple enough to put together ( quickest if you use a power screwdriver ) and the stickers truly were n't problematic . i highly recommend this item .",21.759985,128: feeding | 21: baby_toddler_toys | 13: arts_crafts | 145: bathing_skin_care | 40: baby_products | 3: toys_games | 194: gift_sets | 111: sports_outdoor_play | 53: novelty_gag_toys | 5: puzzles
13111,"badger basket three basket set i was looking for baskets for the changing table of my son . this set looks nice online , but they look different in reality . the liners are very dirty with faded color , and the basket material is very weak with yellow stains .",21.717234,128: feeding | 40: baby_products | 131: diapering | 31: household_supplies | 145: bathing_skin_care | 208: gourmet_gifts | 13: arts_crafts | 21: baby_toddler_toys | 194: gift_sets | 186: highchairs_booster_seats
10528,"se triplet jeweler 's loupe 30x this little item is a must for all electronics technicians . if you 've never seen a deteriorated solder joint up close and personal , this is the baby to have . always finds the break in the connection no matter how microscopic .",21.706879,60: tools_accessories | 111: sports_outdoor_play | 53: novelty_gag_toys | 13: arts_crafts | 31: household_supplies | 40: baby_products | 24: personal_care | 17: dolls_accessories | 128: feeding | 21: baby_toddler_toys
7770,"traxxas 5407 3.3 trx engine , ips shaft with pull start this thing is super powerful , never has failed , i have it in a revo and a 4tecboth traxxas , and the ez starter and they work extremely great . highly recommend this to everyone !",21.695301,111: sports_outdoor_play | 31: household_supplies | 3: toys_games | 120: hobbies | 53: novelty_gag_toys | 21: baby_toddler_toys | 32: household_batteries | 147: vehicles_remote_control | 160: strollers | 30: electronics_for_kids
11640,"4 piece tweezer set save your money and time , do n't buy this set . each one is just two thin flat sheet metal stick together , tried to bend one into workable shape but it fell apart . really does n't worth more than 50 cents for the whole set . i am returning the set . very disappointed . amazon , do n't sell junk on your site !",21.652405,111: sports_outdoor_play | 13: arts_crafts | 21: baby_toddler_toys | 53: novelty_gag_toys | 3: toys_games | 31: household_supplies | 60: tools_accessories | 120: hobbies | 17: dolls_accessories | 30: electronics_for_kids
9292,clips metal single prong 80 count bought these to make bows with . works great . fast shipping and exactly what i expected . good deal on the price for the amount of clips you get too .,21.639065,111: sports_outdoor_play | 13: arts_crafts | 53: novelty_gag_toys | 21: baby_toddler_toys | 60: tools_accessories | 31: household_supplies | 3: toys_games | 17: dolls_accessories | 199: dogs | 120: hobbies
19595,"digital video recorder picture quality is terrible . grainy does n't start to describe it . you need batteries and an sd card , which is not included . my daughter had fun with it today , but i have a similar style flip camera that costs about the same right now , and the quality is far superior ( internal memory , rechargable battery , pretty solid picture ) to this . seems like more of a 9 . 99 item , which it probably will be on clearance soon .",21.546871,111: sports_outdoor_play | 53: novelty_gag_toys | 31: household_supplies | 13: arts_crafts | 120: hobbies | 32: household_batteries | 296: fish_aquatic_pets | 21: baby_toddler_toys | 3: toys_games | 30: electronics_for_kids
3331,earth henna mehndi book kit set fast delivery . given to my daughter as a birthday gift and her and her friends had a great time with it . recommend it to any one thinking of a tattoo .,21.499569,60: tools_accessories | 13: arts_crafts | 111: sports_outdoor_play | 53: novelty_gag_toys | 17: dolls_accessories | 145: bathing_skin_care | 21: baby_toddler_toys | 31: household_supplies | 220: fragrance | 221: women_s
8622,alex picnic basket with 18 piece blue polka dot enamelware dining set we just bought a set similar to this one from target for ... . the one we purchased had sterling silver looking plates and cups with a blue and white checked pattern on the table cloth and silverware . it 's really very cute and our 5 yr old could n't be happier . she ca n't wait for the weather to warm up so she can take her 3 siblings on a picnic ! we really love this set ! !,21.43575,128: feeding | 208: gourmet_gifts | 265: candy_chocolate | 40: baby_products | 194: gift_sets | 129: bottle_feeding | 271: snack_food | 8: beverages | 15: action_toy_figures | 21: baby_toddler_toys
19487,"doctor who the tenth doctor 's sonic screwdriver i did n't expect it to be entirely made of plastic , and thought that for the price that at least some of it would be metal or a durable material , but it was n't . also , the uv pen nibs were dried out upon arrival , which was also a pretty big downer . it was a little disappointing , but my girlfriend still loved it , so i 'm happy .",21.434996,53: novelty_gag_toys | 111: sports_outdoor_play | 13: arts_crafts | 60: tools_accessories | 21: baby_toddler_toys | 17: dolls_accessories | 3: toys_games | 31: household_supplies | 145: bathing_skin_care | 120: hobbies
10602,"jerdon 8 inch wall mount mirror the mirror has been installed in the shower for a couple of weeks , we wipe it off after each use . there is rust in two area which is unsettling !",21.392088,60: tools_accessories | 31: household_supplies | 13: arts_crafts | 111: sports_outdoor_play | 145: bathing_skin_care | 54: bath_body | 24: personal_care | 199: dogs | 21: baby_toddler_toys | 296: fish_aquatic_pets
5181,"just like home cookware set this set is just to cute ! ! perfect set for a little one 's kitchen . all the cookware fits nicely in the kitchen oven , cooktop and microwave of the grandchildren 's kitchen . it has so many pieces that you just do n't see in other cookware sets . a nice neutral color makes it realistic and also perfect for girl or boy ! ! you wo n't be disappointed ! ! ! beverly couture",21.385988,208: gourmet_gifts | 216: pantry_staples | 0: grocery_gourmet_food | 128: feeding | 265: candy_chocolate | 255: breads_bakery | 271: snack_food | 8: beverages | 288: baby_food | 206: tea
1547,"jerdon jp2027n 8 inch two sided swivel wall mount mirror with 7x magnification , 20 inch extension , nickel finish bought this to replace the ikea one that looks almost exactly like this . do yourself a favor , spend the extra ten bucks and get this one . it is more solidly built , more stable , and the optics are infinitely better . not simply that the magnification is a gazillion times stronger ( slightly exaggerated ) , but it has a bigger surface and even on the 1x side , everything is so much more crisp and clear .",21.31276,53: novelty_gag_toys | 111: sports_outdoor_play | 60: tools_accessories | 13: arts_crafts | 21: baby_toddler_toys | 17: dolls_accessories | 120: hobbies | 3: toys_games | 30: electronics_for_kids | 199: dogs
8525,"mirror hand large black large , fairly lightweight , easy to handle , with a good , flat mirror not particularly sturdy but entirely adequate for normal use .",21.305988,60: tools_accessories | 111: sports_outdoor_play | 13: arts_crafts | 53: novelty_gag_toys | 21: baby_toddler_toys | 17: dolls_accessories | 120: hobbies | 31: household_supplies | 3: toys_games | 199: dogs
29,"post it flag pen with 50 red flags per pen and 2 refills i love this pen ! the rubber grip makes the pen very easy to hold and is very comfortable . i no longer need to look for post it flags to mark a page or two . very convenient . i do n't think i 'll ever buy another type of pen ever again ! my only complaint , i would prefer blue , fine ink instead of black medium .",21.267696,13: arts_crafts | 60: tools_accessories | 111: sports_outdoor_play | 53: novelty_gag_toys | 31: household_supplies | 21: baby_toddler_toys | 128: feeding | 40: baby_products | 120: hobbies | 11: makeup
8719,"junior chef 11 piece stainless steel cookware set my daughter of 18 months plays with this set all the time . it is a great toy and she really enjoys it , but the stuff is a little too small . she likes to actually put stuff inside and pretend she is cooking but they are pretty small and can barely fit anything . on a scale of 1 5 i give it a 4 . she definitely enjoys it and the steel makes a nice sound when she bangs the pans together .",21.24295,21: baby_toddler_toys | 3: toys_games | 128: feeding | 5: puzzles | 13: arts_crafts | 108: stacking_nesting_toys | 111: sports_outdoor_play | 311: small_animals | 187: stuffed_animals_toys | 265: candy_chocolate
10147,"diamond naturals dry food for adult dog , beef and rice formula , 40 pound bag i just bought this brand of dog food for the first time because i was trying to find a cost effective quality food for my dogs . not a week after it arrived , i hear on the radio that they have had to recall because people not pets were getting salmonella poisoning from handling the food . thankfully my wife and i were able to avoid that unnecessary risk to our health ! ! ! now i had to waste my precious time to get the food out of my house and fill out their recall paperwork . fail .",21.242947,271: snack_food | 426: bunny_rabbit_central | 170: cats | 216: pantry_staples | 199: dogs | 0: grocery_gourmet_food | 337: birds | 169: pet_supplies | 311: small_animals | 313: dairy_eggs
7803,amazon . com i just wanted spare reading glasses around the house since i tend to misplace them so i ordered these inexpensive ones . big mistake . ill fitting and warped vision . not worth a penny !,21.19516,60: tools_accessories | 74: medical_supplies_equipment | 111: sports_outdoor_play | 53: novelty_gag_toys | 38: health_care | 24: personal_care | 17: dolls_accessories | 296: fish_aquatic_pets | 199: dogs | 13: arts_crafts
14278,"calphalon dormond , hard anodized cookware cleaner , 7 ounces i 'm not sure what the big deal is with this stuff . i tried it on my 2 1 2 yr old 10 inch omelet pan and i must say am underwhelmed . despite several applications and lots of scrubbing , this 15 jar of cleaner was no better than my 89 cent can of bon ami , and maybe not as good . i 'll probably use it up only because it cost so much , but i wo n't be ordering it again .",21.17659,216: pantry_staples | 31: household_supplies | 265: candy_chocolate | 0: grocery_gourmet_food | 208: gourmet_gifts | 296: fish_aquatic_pets | 8: beverages | 145: bathing_skin_care | 206: tea | 271: snack_food
16023,"lightwedge lighted pocket magnifier , blueberry love this product . i have had other magnifiers that do n't come close to the quality of this one . i am going to buy more so i can keep one in the car for maps , etc . you ca n't go wrong purchasing this product .",21.135128,60: tools_accessories | 53: novelty_gag_toys | 111: sports_outdoor_play | 13: arts_crafts | 296: fish_aquatic_pets | 31: household_supplies | 17: dolls_accessories | 24: personal_care | 21: baby_toddler_toys | 74: medical_supplies_equipment
8011,"nerf n strike longshot cs 6 i got this gun today , so this might noy be the best review . the nerf longshot cs 6 is a great edition the n strike line . on amazon it 's ... for the yellow version and ... for the blue version . i got the yellow version because it looks cool . good features",21.134827,53: novelty_gag_toys | 111: sports_outdoor_play | 3: toys_games | 4: games | 17: dolls_accessories | 15: action_toy_figures | 120: hobbies | 13: arts_crafts | 30: electronics_for_kids | 21: baby_toddler_toys
2009,zadro ultimate lighted make up mirror this item would be perfect if not for poor quality . the lighging is very dim and the mirror does not stay in place when the height is adjusted .,21.134268,60: tools_accessories | 11: makeup | 199: dogs | 51: dress_up_pretend_play | 111: sports_outdoor_play | 10: beauty | 13: arts_crafts | 21: baby_toddler_toys | 17: dolls_accessories | 53: novelty_gag_toys
7941,button cell type 394 battery i placed the battery inside the watch and within a nanosecond it powered up ! it was very emotional and very uplifting .,21.114326,31: household_supplies | 296: fish_aquatic_pets | 32: household_batteries | 111: sports_outdoor_play | 53: novelty_gag_toys | 74: medical_supplies_equipment | 13: arts_crafts | 128: feeding | 120: hobbies | 8: beverages
5848,"butterfly tea set basket bought this for my 4 yr old granddaughter because she loves picnics and tea parties . but , was a little surprised at how small all of the pieces actually are even the picnic basket . it will be a little difficult having real tea with this set .",21.101284,208: gourmet_gifts | 265: candy_chocolate | 128: feeding | 8: beverages | 0: grocery_gourmet_food | 369: tea_gifts | 40: baby_products | 53: novelty_gag_toys | 13: arts_crafts | 349: hard_candies
4339,roommates rmk1037scs curious george peel and stick wall decals the item should be pack differently . the front page of the product comes damage . damage in away that it is melted so that the first page is useless .,21.062597,13: arts_crafts | 31: household_supplies | 145: bathing_skin_care | 111: sports_outdoor_play | 21: baby_toddler_toys | 128: feeding | 40: baby_products | 53: novelty_gag_toys | 296: fish_aquatic_pets | 139: nursery
454,"helping hand with magnifying glass this is a wonderful device . it keeps its balance , as the base is well weighted . the clasps are firm and strong . i use it in beading , primarily , providing that third hand that one needs from time to time . i 'd recommend it to anyone needing such help .",21.027174,60: tools_accessories | 53: novelty_gag_toys | 111: sports_outdoor_play | 13: arts_crafts | 17: dolls_accessories | 21: baby_toddler_toys | 24: personal_care | 31: household_supplies | 10: beauty | 145: bathing_skin_care
11540,"bill snatcher this product is a classic . no matter how old you are , nothing better than seeing someone get all excited for a "" found "" dollar .. only to watch it disappear from their grasp ! ! hahahahahahahahaheducation value",21.026781,128: feeding | 111: sports_outdoor_play | 13: arts_crafts | 31: household_supplies | 53: novelty_gag_toys | 21: baby_toddler_toys | 145: bathing_skin_care | 265: candy_chocolate | 40: baby_products | 3: toys_games
17281,"lighted stand magnifier i used to be an optician , and i am appalled by the poor quality of this item . at most it must 've cost about ten cents to make . with shipping this will run you about 20 . 00 ...... it is n't worth it . take my word for it . but there does n't seem to be much of a choice in this sort of reader that 's of decent quality .",21.01511,53: novelty_gag_toys | 111: sports_outdoor_play | 60: tools_accessories | 13: arts_crafts | 17: dolls_accessories | 296: fish_aquatic_pets | 21: baby_toddler_toys | 31: household_supplies | 74: medical_supplies_equipment | 3: toys_games
2714,dragonfly tanning bed stickers 1000 ct roll way cheaper than a tattoo and lots of fun ! leaves a great design where ever you put it ! !,21.014688,60: tools_accessories | 13: arts_crafts | 111: sports_outdoor_play | 145: bathing_skin_care | 31: household_supplies | 21: baby_toddler_toys | 54: bath_body | 11: makeup | 53: novelty_gag_toys | 10: beauty
10097,"8 "" lumistick brand glowsticks glow stick bracelets mixed colors ( tube of 100 ) bought these glow sticks to hand out for halloween . kids really enjoyed them , something different . the only problem i had was when i was putting the little connector on them a few cracked and started to glow . just a little sensitive . overall good idea .",21.002756,145: bathing_skin_care | 21: baby_toddler_toys | 128: feeding | 13: arts_crafts | 53: novelty_gag_toys | 40: baby_products | 111: sports_outdoor_play | 265: candy_chocolate | 194: gift_sets | 3: toys_games
15806,"reflections heavyweight "" looks like silver "" disposable flatware for 40 with bonus pack of 40 forks 160 pieces in all if you are having a big party where you are going to use plastic k fs and you want it to look elegant for a change , try these . until you touch them you ca n't tell it 's plastic . makes a great looking table . used these for a holiday party for 40 and was very pleased the way the table settings looked . i 'll being using these again come the next holiday season .",21.0014,31: household_supplies | 265: candy_chocolate | 128: feeding | 220: fragrance | 60: tools_accessories | 13: arts_crafts | 145: bathing_skin_care | 221: women_s | 111: sports_outdoor_play | 208: gourmet_gifts
12132,"jerdon jp2027n 8 inch two sided swivel wall mount mirror with 7x magnification , 20 inch extension , nickel finish the mirror was packed very well and arrived in perfect shape . it was easy to install and easy to use . it has been the perfect mirror to use for close up .",20.98938,60: tools_accessories | 111: sports_outdoor_play | 21: baby_toddler_toys | 13: arts_crafts | 53: novelty_gag_toys | 120: hobbies | 3: toys_games | 199: dogs | 17: dolls_accessories | 31: household_supplies
18263,"foster grant fashion reading glasses , 1 . 25 strength , dustin i thought better of foster grant . these were flimsy and cheaply made . scratched easily and the arm springs gave out in one day for all 3.i guess 3 pair for ... bucks tells me you get what you pay for . definitely will not buy these again .",20.984222,60: tools_accessories | 53: novelty_gag_toys | 111: sports_outdoor_play | 17: dolls_accessories | 24: personal_care | 199: dogs | 13: arts_crafts | 382: apparel_accessories | 21: baby_toddler_toys | 74: medical_supplies_equipment
8700,"diamond naturals dry food for adult dog , beef and rice formula , 40 pound bag my dog has food allergies and sensetive to food . the price was great for lamb but it makes my dog itch terrible . i wish i would not have paid 40 . 00 , and can not return . i am donateing to a friend",20.947174,271: snack_food | 426: bunny_rabbit_central | 216: pantry_staples | 170: cats | 199: dogs | 0: grocery_gourmet_food | 337: birds | 169: pet_supplies | 311: small_animals | 1: meat_poultry
10287,duro med 32 aluminum reacher with magnetic tip have used this reacher several times to grab things off of top shelves it works great ! very lightweight easy to use . exactly as described . well made product that i received very quickly ! thanks !,20.930294,31: household_supplies | 111: sports_outdoor_play | 60: tools_accessories | 160: strollers | 13: arts_crafts | 40: baby_products | 53: novelty_gag_toys | 120: hobbies | 74: medical_supplies_equipment | 145: bathing_skin_care
10502,ore originals hamper flower i love this hamper . it folds up easily . its cute . lightweight . and holds lots of clothes . its also great for storing other items like baby toys . and great for taking on car trips to hold blankets and other items . highly recommend !,20.924759,40: baby_products | 128: feeding | 145: bathing_skin_care | 131: diapering | 139: nursery | 194: gift_sets | 21: baby_toddler_toys | 129: bottle_feeding | 160: strollers | 162: pregnancy_maternity
